id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,mot_cle
W121000031,PLANETE EN MAIN,"promouvoir le développement durable sous toutes ses formes, secteurs appropriés et supports, informer, sensibiliser, aider au changement de comportement de chacun face aux menaces qui pèsent sur les hommes et la planète grace au développement de l'enseignement, de la médiation, de formations, etc.",,PL,de l'église,12370,Saint-Sever-du-Moustier,www.planete-en-main.fr,A,Main
W121000038,ECOLE DELTA DE MILLAU,"la promotion de la pratique de l'aile delta, de l'initiation à la compétition.",407,RUE,Jules Libourel,12100,Millau,,A,Ecole
W121000042,ASSOCIATION DE PARENTS D'ÉLÈVES DE L'ENSEIGNEMENT LIBRE  APEL DE L'ECOLE SAINTE FAMILLE DE VABRES L'ABBAYE,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; 	mettre en uvre et faire connaitre le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national ; à cet effet, l'association adhère à l'apel du département de l'aveyron, adhérente à l'apel de l'académie de toulouse, elle-même membre de l'apel nationale ; réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences de chacun ; apporter son soutien à l'établissement et contribuer à son animation",4,RUE,Jardins,12400,Vabres-l'Abbaye,,A,Ecole
W121000054,OGEC DE L'ECOLE SAINTE BERNADETTE,"assumer juridiquement, dans le respect du droit français et des accords conclus au sein de l'enseignement catholique, la gestion d'un établissement d'enseignement fondé par l'autorité canonique compétente.
toute activité se rapportant à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes.",9,RUE,Pourtalou,12230,La Cavalerie,,A,Ecole
W121000082,ECOLE DE MUSIQUE VIRTUOSE,"créer un espace musical de formation à la musique classique, piano, violon, alto et autres instruments. apprentissage accéléré à la musique de variétés.",1,AV,Jean Jaurès,12150,Sévérac-le-Château,http://virtuose12.free.fr,A,Ecole
W121000114,AMAZING DISCOVERIES FRANCE,"a travers des séminaires, exposés, cassettes audio et vidéo, livres, internet et autres médias, montrer les liens existant entre évènements actuels et prophéties bibliques. annoncer l'évangile chrétien. démontrer que la science et la foi chrétienne forment une unité. encourager un mode de vie végétarien et sain, organiser des actions d'aide humanitaire. les membres de l'association sont des chrétiens adventistes du 7e jour.",5,RUE,de Champagneux,69008,Lyon,,A,Sain
W121000129,ASSOCIATION DES SPECTATEURS DU SUD AVEYRON/AMIS DU THEATRE POPULAIRE ASSA/ATP,"développer le goùt du théatre en particulier, du spectacle et de l'art en général. permettre la rencontre et l'échange avec d'autres cultures, et pour cela, organiser ou aider à organiser toutes manifestations qui lui paraîtront utiles pour atteindreces buts.","16 A,",BD,de l'Ayrolle,12100,Millau,,A,Assa
W121000130,OUVREZ LES PORTES SAINT-AFFRIQUE,"créer un espace 'point coeur saint-affrique', ouvert à tous et fraternel dans un esprit chrétien d'entraide et de partage.",5,RUE,Théron,12400,Saint-Affrique,,A,Ouvert
W121000131,ASSOCIATION LOCALE A.D.M.R. DES SEPT VALLONS,"aider à tout moment de leur existence, toute famille ou personne habitant dans les communes où elle exerce son action (lors de la fusion-absorbtion du 1er juillet 2007, sur proposition de l'a.d.m.r. de la vallée du dourdou et de la sorgues, les commmunes de saint-izaire et de calmels et le viala sont rattachées à notre association), pour cela, assurer la responsabilité matérielle et morale de la marche d'une ou plusieurs branches d'activité pouvant concourir à la réalisation de cet objectif",5,PL,de la mairie,12550,Coupiac,,A,Viala
W121000204,ASSOCIATION SAINT AFFRICAINE D'EDUCATION POPULAIRE,"cette association a un but littéraire et artistique, sans aucun but commercial, et a pour objet philanthropique l'organisation d'oeuvres post-scolaires et la création et l'entretien à st. affrique d'une salle de réunion et de spectacles dite 'théatremoderne'.",,BD,Carnot,12400,Saint-Affrique,,A,Post
W121000215,EMPLOI SAINT-SERNINOIS INTER-ASSOCIATIF (ESSI),gérer l'emploi inter-associatif sur le saint-serninois.,,,,12380,Saint-Sernin-sur-Rance,,A,Essi
