titre,objet,mot_cle
PLANETE EN MAIN,"Promouvoir le développement durable sous toutes ses formes, secteurs appropriés et supports, informer, sensibiliser, aider au changement de comportement de chacun face aux menaces qui pèsent sur les hommes et la planète grace au développement de l'enseignement, de la médiation, de formations, etc.",main
ECOLE DELTA DE MILLAU,"la promotion de la pratique de l'aile delta, de l'initiation à la compétition.",ecole
ASSOCIATION DE PARENTS D'ÉLÈVES DE L'ENSEIGNEMENT LIBRE  APEL DE L'ECOLE SAINTE FAMILLE DE VABRES L'ABBAYE,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; 	mettre en uvre et faire connaitre le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national ; à cet effet, l'association adhère à l'apel du département de l'Aveyron, adhérente à l'apel de l'académie de Toulouse, elle-même membre de l'apel nationale ; réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences de chacun ; apporter son soutien à l'établissement et contribuer à son animation",ecole
CLUB LES RIVES DU DOURDOU,"Maintenir entre les membres des liens pour réagir contre l'isolement, éviter le repli sur soi-même, faciliter l'épanouissement de chacun, et créer différentes manifestations telles que voyages, journées détente, après-midi 'goùter' pour les personnesne pouvant pas participer aux sorties, tout ce qui est susceptible de donner un caractère chaleureux, dans un esprit d'entraide et avec la participation de tous.",midi
OGEC DE L'ECOLE SAINTE BERNADETTE,"Assumer juridiquement, dans le respect du droit français et des accords conclus au sein de l'Enseignement Catholique, la gestion d'un établissement d'enseignement fondé par l'autorité canonique compétente.
Toute activité se rapportant à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes.",ecole
ECOLE DE MUSIQUE VIRTUOSE,"Créer un espace musical de formation à la musique classique, piano, violon, alto et autres instruments. Apprentissage accéléré à la musique de variétés.",ecole
AMAZING DISCOVERIES FRANCE,"A travers des séminaires, exposés, cassettes audio et vidéo, livres, internet et autres médias, montrer les liens existant entre évènements actuels et prophéties bibliques. Annoncer l'évangile chrétien. Démontrer que la science et la foi chrétienne forment une unité. Encourager un mode de vie végétarien et sain, organiser des actions d'aide humanitaire. Les membres de l'association sont des chrétiens adventistes du 7e jour.",sain
ASSOCIATION DES SPECTATEURS DU SUD AVEYRON/AMIS DU THEATRE POPULAIRE ASSA/ATP,"Développer le goùt du théatre en particulier, du spectacle et de l'art en général. Permettre la rencontre et l'échange avec d'autres cultures, et pour cela, organiser ou aider à organiser toutes manifestations qui lui paraîtront utiles pour atteindreces buts.",assa
OUVREZ LES PORTES SAINT-AFFRIQUE,"Créer un espace 'Point Coeur Saint-Affrique', ouvert à tous et fraternel dans un esprit chrétien d'entraide et de partage.",ouvert
ASSOCIATION LOCALE A.D.M.R. DES SEPT VALLONS,"aider à tout moment de leur existence, toute famille ou personne habitant dans les communes où elle exerce son action (lors de la fusion-absorbtion du 1er juillet 2007, sur proposition de l'A.D.M.R. de la vallée du Dourdou et de la Sorgues, les commmunes de Saint-Izaire et de Calmels et le Viala sont rattachées à notre association), pour cela, assurer la responsabilité matérielle et morale de la marche d'une ou plusieurs branches d'activité pouvant concourir à la réalisation de cet objectif",viala
