,Unnamed: 0,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude,facebook_url,helloasso_url
0,5359,W012002482,TRAIT D'UNION FRANCO CAMEROUNAIS,"favoriser le développement économique, culturel et social en zone rurale camerounaise",62,RUE,de la Ramassière,1600,Reyrieux,,62 rue de la ramassiere 1600 reyrieux,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,4.8221733,45.9369164,https://www.facebook.com/traitdunionlacave/,https://www.helloasso.com/associations/union-des-camerounais-de-l-etranger
1,10200,W012007337,LA MAIN TENDUE (LMT),"promotion des actions et expériences locales de développement dans les régions centre et sud du Cameroun ; ces actions sont ciblées sur des micro-projets dans les domaines suivants : l'éducation, le médico-social, les infra-structures de petites dimensions, la communication entre partenaires via les réseaux locaux ; l'objectif de l'association est d'enraciner son action dans des initiatives locales à tous niveaux : création, réalisation puis gestion",20 bis,RUE,de Lyon,1800,Meximieux,,20 bis rue de lyon 1800 meximieux,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.191291,45.9027163,https://fr-fr.facebook.com/La-main-tendue-1997698513883354/,https://www.helloasso.com/associations/la-main-tendue-93
2,11259,W012008396,ASSOCIATION BIA-BIA (A.B.B.),promouvoir l'intérêt général des villages camerounais ; participer à leur développement culturel et scolaire ; rechercher des partenaires pour aider les populations défavorisées du cameroun ; renforcer les relations de solidarité entre membres ; apporter à tous les membres une aide morale et ou financière en cas de deuil.,,,,1340,Marsonnas,,1340 marsonnas,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.0718348,46.3408621,https://www.facebook.com/asblbiabia/,https://www.helloasso.com/associations/bia-chats
3,12172,W012009309,SOLIDARITE BRESSANE CAMEROUNAISE (SBC),"solidarité et entraide par l'assistance de ces membres en cas d'évènements heureux (mariage, naissance) ou évènements malheureux (perte d'un être cher) ; l'aide à l'intégration sociale et professionelle de personnes dans le besoin et particulièrement des immigrés d'origine camerounaise, par un soutien dans leurs démarches administratives, l'apprentissage de la langue française, insertion professionnelle, orientation scolaire et formation professionnelle ; une assistance et une entraide internationale par information des femmes et des jeunes femmes sur la sexualité, les moyens de contraception, l'avortement, les maladies sexuellement transmissibles, l'adoption et ses conséquences ; aide pour les enfants en détresse tels que les orphelins ou enfants abandonnés ; conséquences de l'alcoolisme ; aide sociale au développement par la création de microentreprises, l'accès à l'eau potable par la construction de puits d'eau ; pourra procéder à des activités économiques afin de récolter des fonds",2,RUE,Lalande,1000,Bourg-en-Bresse,,2 rue lalande 1000 bourg-en-bresse,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.2233504,46.2045091,https://www.facebook.com/Solidarit%C3%A9-camerounaise-410274605845240/,https://www.helloasso.com/associations/solidarite-cameroun
4,12436,W012009573,ASSOCIATION TREMPLINGALLE - KAMKA,"faire participer l'immigration d'origine africaine à l'action citoyenne ; mener des actions culturelles qui favorisent la rencontre, le débat, la réflexion ; créer des ateliers de cuisine, couture ou peintures africaines ; organiser des collectes de biens utiles à la population à la charge de l'association ; en Afrique : création au Cameroun des centres d'accueil, de soutien et de formation pour la jeunesse et personnes en difficulté (abandon, veuvage, maltraitance, délinquance) ; la recherche en Europe des fonds et des équipements pour le fonctionnement des centres",2,BD,Irène Joliot Curie,1000,Bourg-en-Bresse,,2 boulevard irene joliot curie 1000 bourg-en-bresse,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.232158,46.209581,https://fr-fr.facebook.com/tremplinassociation/,https://www.helloasso.com/associations/tremplin
5,12594,W012009731,NYALA,"créer et faire vivre un centre d'accueil à nyala au cameroun pour que les enfants défavorisés y reçoivent l'éducation nécessaire pour pouvoir évoluer sereinement dans leur pays ; promouvoir, assurer et organiser des actions de soutien et de secours,de faciliter l'éducation, l'insertion sociale et professionnelle ; rechercher des partenaires avec toutes les personnes physiques ou morales désireuses d'aider d'une manière ou d'une autre ces personnes défavorisées.",,,"2, rue de la République",1000,Bourg-en-Bresse,,2 rue de la republique 1000 bourg-en-bresse,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.2250324,46.2051192,https://www.facebook.com/Nyala1933/,not found
6,12937,W012010074,ACTIONS SOLIDAIRES POUR AUDREY (ASPA),"prise en charge des soins et traitements de l'enfant Audrey Choudjuem né en 2000, handicapé psychomoteur, habitant à Bonabéri, Douala (Cameroun) ; participer financièrement, conjointement à sa mère, à toute action lui permettant de se développer physiquement, psychologiquement et affectivement ; participer financièrement à l'amélioration de ses conditions de vie, à son domicile et au sein d'une structure d'accueil éducatif, au moyen de dons, cotisations, collectes et ventes de produits",27,RUE,Lulli,1000,Saint-Denis-lès-Bourg,www.actions-solidaires-pour-audrey.blogspot,27 rue lulli 1000 saint-denis-les-bourg,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.2002,46.194841,https://www.facebook.com/Actions-Solidaires-Pour-Audrey-1086124904747036/about/,https://www.helloasso.com/associations/collectif-actions-solidaires
7,15154,W013000025,ASSOCIATION DU GROUPE SCOLAIRE ANYENG,"formation et éducation des jeunes et des adultes, et notamment la création et la gestion de tous établissements scolaires privés, primaires et secondaires, de tous centres ou locaux culturels ou sportifs annexes à cet objet, ainsi que tout ce qui, directement ou indirectement permet ou facilite la réalisation de son objet notamment la prise à bail ou l'acquisition de biens en vue de l'exercice de son objet ; l'association réalise son objet dans la région de Yaoundé/Cameroun par la gestion du groupe scolaire Anyeng (Semence)",331,CHEM1,de Tir-Mir,1220,Divonne-les-Bains,,331 chem1 de tir-mir 1220 divonne-les-bains,Essonne,Île-de-France,ÉDUCATION  FORMATION,AUTRES,6.143049,46.3570916,https://fr-fr.facebook.com/anyeng.anyeng.31,https://www.helloasso.com/associations/association-de-soutien-scolaire-et-aide-aux-devoirs
8,15213,W013000084,DIVERSITE ET PROJECTION,"promouvoir l'espace culturel, au travers des danses folkloriques africaines et particulièrement camerounaise titre d'exemple : bikutsi, baya, essewe, assiko, ben skin et ce dans un esprit d'échange",7,CHEM1,du levant,1220,Divonne-les-Bains,,7 chem1 du levant 1220 divonne-les-bains,Essonne,Île-de-France,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,AUTRES,6.143049,46.3570916,https://fr-fr.facebook.com/community/diversity-and-inclusion/,https://www.helloasso.com/associations/diversite-et-kids/evenements/projection-dessin-anime-battledream-chronicles
9,15299,W013000170,"DROIT D'EDUCATION, ACCES A LA SANTE POUR TOUS",aider les enfants mineurs au Cameroun d'avoir droit à l'école et accès à la santé pour leur avenir,,,,1210,Ferney-Voltaire,,1210 ferney-voltaire,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,6.1076131,46.2555744,https://www.facebook.com/UNICEF.France/videos/teddy-riner-le-plus-important-pour-un-enfant-l%C3%A9ducation-et-la-sant%C3%A9-/1258037048074467/,https://www.helloasso.com/associations/action-acces-sante
