,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude
0,W751075369,ASSOCIATION NDOG-NÉM FRANCE ANNF,créer et favoriser les contacts le dialogue dvr les liens de fraternité et de solidarité entre ts les ndog nem de france et du cameroun,94,RUE,des Chataigniers,95100,Argenteuil,,94 RUE des Chataigniers 95100 Argenteuil,Val-d'Oise,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.252414,48.9571357
1,W751101199,CERCLE D'ETUDES DES TRADITIONS ET DE LA CULTURE CAMEROUNAISES CETCC,"étudier les traditions et la culture camerounaises, ainsi que l'amélioration et le développement des relations fraternelles et amicales entre les camerounais",148,AV,d'Italie,75013,Paris,,148 AV d'Italie 75013 Paris,Paris,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.3580928,48.8226294
2,W751105303,LES AMIS DE L'INSTITUT CATHOLIQUE DE YAOUNDE CAMEROUN,"contribuer a la réalisation des objectifs de l'institut catholique de yaoundé et des institutions qui s'y rattachent en lui apportant une aide matérielle et soutien morale, en prenant toutes initiatives pour faire connaître l'action de l'institution et lui apporter un soutien pour renforcer son rayonnement, en mobilisant des ressources pour le fonctionnement et le développement de l'institut, en diffusant tous bulletins et publications et en poursuivant toutes activités d'information, et de manière générale en développant tous moyens appropriés, le tous dans le cadre des lois en vigueur",21,RUE,d'Assas,75006,Paris,,21 RUE d'Assas 75006 Paris,Paris,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,2.3293486,48.8482956
3,W751109411,ASSOCIATION DES CHRETIENS DU CAMEROUN POUR LE DEVELOPPEMENT ACCD,"réunir, en france comme à l'étranger, au cameroun notamment des personnes s'intéressant de prés ou de loin aux operations de développements communautaires, tels la promotion éthique et matérielle de a population post-scolaire, le changement radical de mentalité basé sur les enseignements de l'église catholique et la sagesse ancestrale africiane, acquisition de nouvelles technologies agro-postales, esprit d'ouverture aux jeunes du monde entier",4,RUE,de Castellane,75008,Paris,www.accd-cameroun.org,4 RUE de Castellane 75008 Paris,Paris,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.3255494,48.8722395
4,W751118437,ASSOCIATION CAMEROUNAISE D'ENTRAIDE DES RESSORTISSANTS BOOH NSETEUH ET AUTRES DE FRANCE ACERBA,être le lieu de rencontre de tous les boh nseteuh et autres de france,8,RUE,Raymond pitet,75017,Paris,,8 RUE Raymond pitet 75017 Paris,Paris,Île-de-France,INTERVENTIONS SOCIALES,AUTRES,2.2967841,48.8899345
5,W751128115,ASSOCIATION SOLIDARITE CAMEROUNAISE EN FRANCE ASCF,"assistance morale à tout membre éprouvé par le décès d'un membre direct ou indirect de sa famille. assistance ou soutien financier à tout membre actif éprouvé par le décès d'un membre direct ou indirect de sa famille. assistance ou soutien fionancier le plus élevé en vigueur à l'ayanr droit ( le conjoint, à défaut le descendant ou ml'ascendant) en cas de décès d'un membre actif.",148,AV,d'Italie,75013,Paris,,148 AV d'Italie 75013 Paris,Paris,Île-de-France,INTERVENTIONS SOCIALES,AUTRES,2.3580928,48.8226294
6,W751131270,ASSOCIATION CAMEROUNAISE ENTRAIDE ET FAMILLE EN FRANCE,"promouvoir toute action humanitaire à destination des populations défavorisées ; réaliser l'entente, la solidarité et la fraternité entre ses membres ; contribuer à leur épanouissement personnel ainsi qu'à l'amélioration de leurs conditions de vie",37,RUE,Duparchy,91170,Viry-Châtillon,,37 RUE Duparchy 91170 Viry-Châtillon,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.3679953,48.6726377
7,W751135798,COLLECTIF DES ASSOCIATIONS CAMEROUNAISES FRANCE CAC FRANCE,échanger nos expériences favoriser la communication dans et avec la diaspora rassembler harmoniser promouvoir les activités des différentes associations,114,RUE,des Pyrenees,75020,Paris,,114 RUE des Pyrenees 75020 Paris,Paris,Île-de-France,CLUBS DE LOISIRS/ RELATIONS,AUTRES,2.4046274,48.8571331
8,W751143617,AMICALE MENOUA CAMEROUN DE FRANCE  AMCF,soutenir et promouvoir des initiatives visant a entretenir des liens de solidarité et fraternité entre ses membre de mieux se connaître et s'entraider,16 bis,PL,jules valles,91000,Évry,,16 bis PL jules valles 91000 Évry,Essonne,Île-de-France,ENVIRONNEMENT/  CADRE DE VIE,AUTRES,2.4291283,48.6358196
9,W751155603,CONSEIL DES CAMEROUNAIS D'EUROPE CCE,unir en son sein les associations et d'autres plates formes oeuvrant d'une façon au développement culturel sanitaire sportif scientifique social économique et moral de tous les camerounais etc..,1,RUE,de Gergovie,75014,Paris,,1 RUE de Gergovie 75014 Paris,Paris,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,INTERVENTIONS SOCIALES,2.3132518,48.8347601
10,W751159475,AKIBA,"promouvoir les échanges artistiques entre la région de la forêt équatoriale camerounaise et la france en particulier, le reste du monde en général par le biais du spectacle vivant, des contes, des musiques traditionnelles, des ateliers et des colloques ; faire connaître lart du conte africain auprès de tout public par des actions ciblées dinformation, de diffusion et de production ; oeuvrer à la recherche des moyens daide aux projets socioculturels dans cette sous-région dafrique centrale ; oeuvrer à la reconnaissance de lart du conte  africain, de ses différentes pratiques et du métier de conteur, de musicien traditionnel auprès des institutions, des administrations, et de tout interlocuteur public ou privés nationaux et internationaux ; offrir aux membres et à ses partenaires une plate-forme déchange et de rencontres, par le biais des festivals, des ateliers, et des reportages multimédias ; défendre une éthique sappuyant sur des principes de partage, de respect et déchanges e",56,RUE,des Maraîchers,75020,Paris,,56 RUE des Maraîchers 75020 Paris,Paris,Île-de-France,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,ACTION SOCIOCULTURELLE,2.4069046,48.8520592
